ID,Reviews,Sentiment
56,"সচা কথা কবলৈ গলে, বালাদেশত এনে নাটক চোৱাৰ পিছত মই আমাৰ ভাৰতীয় চিনেমা চাবলৈ পাহৰি গৈছিলো কাৰণ তিনিওজনে কেনেদৰে ইমান ধুনীয়া নাটক নিৰ্মাণ কৰে সেয়া ভাবি আচৰিত হয়, যিসকলে এই নাটকবোৰ নিৰ্মাণ কৰি আছে আৰু এই নাটকবোৰ আপলোড কৰিছে, আমাৰ পৰিয়ালৰ সকলোৱে আপোনাৰ এই নাটকবোৰ চাই থাকে মই আশা কৰো আপুনি আৰু ভাল নাটক আপলোড কৰিছে, ধন্যবাদ",positive
57,অপূৰ্ব বছ,positive
58,এইটো সৰ্বশ্ৰেষ্ঠ আছিল,positive
59,অত্যন্ত মূৰ্খ নাটক এই পৰিচালকসকল আনকি প্ৰডাকচন বয় হবলৈও যোগ্য নহয় মোছাৰফ কৰিমক এতিয়া চাৰ্কাছৰ হেভিৱেইট যেন লাগিছে এই ভাড়াতীয়া সৈন্যসকলে আৰু জনসাধাৰণক নাখায়,negative
60,মই সমাপ্তিটো ভাল পোৱা নাছিলো এনে ছোৱালীৰ বাস্তৱ জীৱনত এটা হৃদয় থকাটো প্ৰয়োজন,negative
61,নাটকখন চাই বৰ ভাল লাগিলএখন অসাধাৰণ নাটক আছিল,positive
62,ভিডিঅৰ মানদণ্ড বৰ ভাল নহয়,negative
63,"এইটো বহুত ভাল হৈছে, মই ইয়াক বহুত ভাল পাও",positive
64,কাটাৰৰ পৰা কিবা এটা দেখি আশ্চৰ্যজনক আছিল,positive
65,"আৰিয়ান ভাইৰ নাটকৰ অৰ্থ কিবা বেলেগ, ইয়াত বহুত প্ৰেম আছে",positive
66,এইখন চেষ্ট ফুট চাইডৰ দৰে শ্ৰেষ্ঠ নাটক হব আৰু পুৰস্কাৰ লাভ কৰিব,positive
67,আপুনি এই কথাবোৰৰ বিষয়ে ভাবিব পাৰে,negative
68,দূৰলৈকে এইটো এখন নাটকৰ সলাপ যে পৰিচালকজন পাগল হৈ পৰিছে,negative
69,মোৰ বলনাটকীয় মেজাজ গৰম হৈ পৰিছে,negative
70,"মই অসাধাৰণ প্ৰাৰ্থনাৰ গুৰুত্ব আটাইতকৈ বেছি ভাল পাইছিলো, এইখন হৈছে অমিৰ শ্ৰেষ্ঠ নাটক",positive
71,"মই এই নাটকৰ জৰিয়তে সকলো পিতৃ আৰু জাতিক অপমান কৰিছো পৰিচালকজন এজন সচেতন আৰু ব্যক্তিত্বপূৰ্ণ সম্পূৰ্ণ মানুহ হব লাগিব অন্যথা, ই এক নাটক হব",negative
72,"এইখন মই দেখা আটাইতকৈ বেয়া নাটক, ডুবাই হৈছে বালাদেশৰ নাটকৰ নাম",negative
73,"খেলক, পোহনীয়া জন্তু",negative
74,"মই নাটকখনৰ শেষটো আৰু বেছি ভাল পাইছিলো, আপুনি তাত আছিল, আপুনি আজি তাত থাকিব",positive
75,এইটো বহুত ভাল হৈছে,positive
76,"মই ইয়াক 78 বাৰ চাইছো, কিন্তু মই নাজানো ই কিয় ইমান ভাল অনুভৱ কৰে অপূৰ্ব মেহজাবিয়েন যুটি",positive
77,বালাদেশত কোনো নাটকত কাকো বেয়া মন্তব্য কৰা মই কেতিয়াও দেখা নাই কিন্তু ছবিবোৰত অভিযোগৰ অভাৱ নাই মোৰো বহুতো অভিযোগ আছে কিন্তু নাটকত নহয়,negative
78,ই বহুত ধুনীয়া আছিল,positive
79,পৰিচালক কোন?,negative
80,"মোৰ দেশৰ ছোৱালীবোৰে ইমান বেয়াকৈ কথা কয় যদি মই এই সকলোবোৰ নেদেখিলোহেতেন, মই অনুভৱ নকৰিলোহেতেন যে মই ভাগ্যৱান যে মই কেতিয়াও গাৱলৈ যোৱা নাছিলো",negative
81,"মই নাটকখন ভাল পাইছিলো, কিন্তু ই মোক বেয়া অনুভৱ কৰিছিল",positive
82,"দৰাচলতে, পৃথিৱীৰ আটাইতকৈ সুন্দৰ সম্পৰ্ক হৈছে বন্ধুত্ব হয়তো এয়া প্ৰেম, কিন্তু সম্পৰ্কটো কেতিয়াও শেষ নহয়",positive
83,মই বহুত ভাল অনুভৱ কৰিছো,positive
84,ভাল লাগিছে!,positive
85,চুপাৰ ড্ৰামা,positive
86,"শেষত মাত্ৰ এটা অনুৰোধ, এই ৰঙীন ব্যৱস্থাটোত আপুনি সুখী হব",positive
87,"প্ৰত্যেকৰে ভাল আৰু বেয়া দিশ আছে, সেয়েহে ইয়াতো মই নাটকৰ বাবে ওকালতি কৰা নাই, কিয়নো সীমা অতিক্ৰম কৰা হৈছে, কিন্তু ভালবোৰ ইয়াৰ পৰাও এৰি দিব পাৰি",negative
88,"খুবেই বৰ সুন্দৰ. দৰাচলতে, এই নাটকখন চাই মোৰ সকলো পুৰণি কথা মনত পেলাই দিয়ে",positive
89,আজাইৰা নাটক চোৱাৰ হেপাহ কমেণ্ট পঢ়ি মৰি গল,negative
90,শেহতীয়াকৈ মোজেৰাফ কৰিমৰ নাটক আগৰ দৰে মজাৰ নহয়,negative
91,ৰছী খোৱাৰ নাটক মই ভাল নাপাও! মানসিক অৱস্থা দুৰ্বল হৈ পৰিছে!,negative
92,"এইটো বৰ সুন্দৰ,",positive
93,"আপোনাৰ নাটক দেখিলে মই আৱেগিক হৈ পৰো, অসাধাৰণ, অসাধাৰণ, মিজানুৰ ৰহমান ভাই, মোক ইমান ধুনীয়া নাটক এখন দিয়াৰ বাবে আপোনাক অশেষ ধন্যবাদ",positive
94,"এইখন এখন সুন্দৰ নাটক, মই প্ৰথম অশটো চাই আছো",positive
95,অৰ্থহীন X পুনৰ মিলাইছে নেকি? . স্ক্ৰিপ্ট,negative
96,"নিশো ভাইৰ অভিনয় অতুলনীয় আৰু তৃষা আপুটো এগৰাকী মৰমলগা ডিব্বা মই আটাইতকৈ বেছি উপভোগ কৰা কথাটো হল নিশো ভাইৰ প্ৰাৰ্থনা পঢ়া আৰু আনকো প্ৰাৰ্থনা কৰিবলৈ অনুপ্ৰাণিত কৰা পৰিচালকক এই সম্পৰ্কীয় নাটকবোৰৰ কিছুমান ইছলাম সম্পৰ্কীয় আলোচনীত ৰাখিবলৈ অনুৰোধ কৰক, আপুনি দেখিব যে ই নিশ্চিতভাৱে আমাৰ সমাজত প্ৰভাৱ পেলাব",positive
97,টানজিন টিছা সচাকৈয়ে অতি গৰম আৰু চেক্সি,positive
98,"নাটকখন প্ৰশসনীয় আপুনি কেনে অনুভৱ কৰিছিল? আৰু এটা কথা, আমাক সমৰ্থন কৰাৰ বাবে আপোনালোক সকলোকে ধন্যবাদ সকলোৰে প্ৰতি মৰম",positive
99,"তানজিন তিশাৰ অবিহনে দেশত কোনো নায়িকা নাইনে? একেটা যোৰকে ইমান বেয়া, ইমান ভাওনা দেখিবলৈ পোৱাটো ঘৃণনীয়, মুঠতে ই অসহনীয়",negative
100,নাটকখনৰ মানদণ্ড বৰ অভাৱ অদ্ভুত কাহিনী,negative
101,বজাৰত ১ চামুচ আদাৰ আটা বিক্ৰী হয় নেকি? হাহা,negative
102,আজিকালি নাটক অশ্লীল শব্দৰে ভৰা.,negative
103,"মই এইটো কৰিব বিচাৰো, মই এইটো কৰিব বিচাৰো, এইটো কেনে ধৰণৰ ভাষা? পৰিয়ালৰ সৈতে বহি নাটকখন চোৱাটো এটা দায়িত্ব হৈ পৰিছে",negative
104,এই মোছাৰফ ছাগলীবোৰক দেশৰ পৰা খেদি পঠিওৱা প্ৰয়োজন,negative
105,বহুদিনৰ পৰা অপেক্ষা কৰি আছিলো.অৱশেষত দেখিলো.Just Awesome.,positive
106,উত্তম!,positive
107,"উত্তম বালাদেশত বৈদ্যুতিক মাধ্যমৰ নাটক আমাৰ কলকাতাতকৈ কেইবাখোখোজ আগবাঢ়ি আছে বুলি কবলৈ মোৰ কোনো দ্বিধা নাই ৰমিজৰ আইনাৰ সময়ৰ পৰাই অপূৰ্ব মোৰ প্ৰিয় শিল্পীসকলৰ মাজৰ এজন তেওৰ লগতে মিথিলা, আহছান আৰু আন বহুতে এই তালিকাত অন্তৰ্ভুক্ত হৈছে আপোনাৰ নাটকবোৰ হৃদয়স্পৰ্শী বালাদেশলৈ শুভকামনা যদি মই কেতিয়াবা ঢাকালৈ যাও, হয়তো মই এই নাটকবোৰৰ বাবেই যাম",positive
108,মাব্ৰুৰ ৰছিদ বান্নাই নাটকখনত কেৱল অশ্লীল সলাপ ৰাখিবনে? পৰিচালক ! সস্তীয়া জনপ্ৰিয়তা লাভৰ আশাত এনে কৰাটো মূৰ্খামিৰ বাহিৰে আন একো নহয়,negative
109,আমাৰ মাজত এনে নাটক উপস্থাপন কৰাৰ বাবে নিশু ভাইয়াৱলোবসা ভাইথাকিউ ওমি ভাই আচৰিত আছিল,positive
110,এয়া আমাৰ থিয়েটাৰ জগতৰ মানুহৰ দুৰ্দশা ক্ষমা কৰিব,negative
111,"এটা মূৰ্খ, বেয়া নাটক",negative
112,মোৰ ওচৰত এখন ৰোমান্টিক নাটকৰ বাবে এখন চিত্ৰনাট্য আছে মই চিত্ৰনাট্যখন বিক্ৰী কৰিব বিচাৰো,positive
113,শেষৰটোৰ দৃশ্যপটটো সম্পূৰ্ণ বিৰক্তিকৰ.লাভটো এনেকুৱা হব বুলি ভবা নাছিলো,negative
114,চাবিলা এটা সুন্দৰ অভিনয় আছিল y,positive
115,"এইখন এখন সুন্দৰ নাটক, মোৰ বন্ধু সেয়া আছিল নাকটো",positive
116,"মিথিলাৰ চৰিত্ৰটো ধুনীয়া, তেও স্বাৰ্থপৰ নহয়",positive
117,"বালাদেশৰ নাটকবোৰ ইমান ধুনীয়া, কিন্তু এতিয়া সকলোৱে হিন্দী ধাৰাবাহিক, এখন ভাল নাটকৰ সৈতে ব্যস্ত, পৰিচালক আৰু ইমান ধুনীয়াকৈ অভিনয় কৰা সকলক অশেষ ধন্যবাদ",positive
118,অভিনয় ইমান ভাল নাছিল,negative
119,এখন ভাল নাটক,positive
120,কি এক অৰ্থহীন নাটক,negative
121,প্ৰশ্ন হল মোশ্বাৰফ কৰিম কেনেকৈ কৰে ইমান মূৰ্খ নাটক!Dislike,negative
122,"ই এক সুন্দৰ, বাস্তৱধৰ্মী কাহিনী দৰ্শকৰ সন্মুখত এনে এখন সুন্দৰ নাটক উপস্থাপন কৰাৰ বাবে কাজী আৰেফিন ওমি ভাইক ধন্যবাদ",positive
123,"এইটো বেয়া নহয়, এইটো এটা ভাল শ্ব",positive
124,"এক কথাত কবলৈ গলে, উত্তম!",positive
125,"এনে নাটক,আৰু বহুত বহুত ধন্যবাদ তঞ্জিলা আপু,কেনেকুৱা নাটক লৰাবোৰ?",positive
126,আজিকালি টিভিত অত্যধিক বিজ্ঞাপনৰ বাবে মানুহে বঙালী টেলিভিছন নাচায় ইয়াৰ ভিতৰত বঙালী নাটকে ইউটিউবত সুনাম অৰ্জন কৰিছে কাৰণ এখন নাটক প্ৰায় ১০ মিলিয়ন দৰ্শক আছে আৰু যদি আপুনি ইউটিউবত 10 মিনিটৰ নাটকত 3 টা বিজ্ঞাপন চাব লগা হয় তেতিয়া ইউটিউব আৰু নাটকৰ দৰ্শক হেৰাই যাব,negative
127,প্ৰাৰ্থনা হৈছে এক জীৱনশৈলী যাক মই বহুত ভাল পাও,positive
128,এয়া এক নাটক নে আন কিবা?,negative
129,"আচ্ছা আৰিয়ান ভাই, মই আপোনাৰ সকলো নাটক চাও, বিশেষকৈ অপাব ভাইৰ অপাব ভাইৰ প্ৰতি থকা ভালপোৱা",positive
130,আড্ডাত এগৰাকী নায়িকাৰ সৈতে সকলো নাটক,negative
131,"আপুনি বহু দূৰলৈ হেৰাই যাব বিচাৰে যত আপোনাৰ প্ৰেমৰ বাহটো সুখী আৰু মই সেই বাহটোত শ শ জীৱন অতিবাহিত কৰিব বিচাৰো মই কল্পনাৰ সাগৰত ভাহি থাকিম, মই তোমাৰ হৃদয়ৰ সমুদ্ৰলৈ যাম, তুমি ধৰিব নোৱাৰিবানে?",positive
132,ইমান ধুনীয়া ৰিজৰ্ট কত? :p,positive
133,নাটকখন কেৰ শ্ৰেষ্ঠতকৈ ভাল হব,positive
134,বালাদেশী নাটক বৰ ধুনীয়া আৰু বৰ ভাল,positive
135,নাটকখনত প্ৰাৰ্থনাৰ উপদেশটো মই সচাকৈয়ে ভাল পাইছিলো,positive
136,উত্তম ভাতৃ আৰিয়ান,positive
137,বঙালী ইমান ধুনীয়া কিয়.,positive
138,"বাৰু, মিথি অপুৱে বন্ধু বুলি কোৱাৰ সময়ত কি হাহি মাৰিছিল",positive
139,এইটো আশ্চৰ্যকৰ আছিল.,positive
140,"এনে এখন নাটক ইমান ধুনীয়াকৈ পৰিচালনা কৰাৰ বাবে মোৰ ভাতৃক ধন্যবাদ সচা কথা কবলৈ গলে, যেতিয়া নিশো ভাইয়ে নাটকৰ শেষৰ অশত প্ৰাৰ্থনাৰ বিষয়ে কৈছিল, তেতিয়া মোৰ বহুত ভাল লাগিছিল মাজেৰে যাওক. বি.আৰ.ও.",positive
141,"বছ, আপুনি শ্ৰেষ্ঠ",positive
142,বাল মাৰ্কা নাটক,negative
143,"মই মোৰ ভাষা হেৰুৱাইছো, নাটকখনৰ বিষয়ে মই আৰু কি কম এক কথাত কবলৈ গলে, দুখন মহান নাটক মই আশা কৰো যে আৰিয়ান ভাইয়ে এই নাটকখনৰ তৃতীয়টো প্ৰিকুৱেল বনাব 6 ছেপ্টেম্বৰ, 2017.",positive
144,বৃদ্ধ বয়সত প্ৰথম প্ৰেম দেখা গলে সেই সময়তো ভাল হয় ইয়াক প্ৰেম বুলি কোৱা হয়,positive
145,সুন্দৰ নাটক,positive
146,আজে বাজে পৰিচালক,negative
147,এইখন এখন ধুনীয়া নাটক ভাই,positive
148,"নিশো ভাই, নাটকখনৰ চিত্ৰনাট্য ভাল নহয়",negative
149,"যেতিয়া অপূৰ্বাৰ ভাতৃয়ে মিথিলা অপুক প্ৰস্তাৱ দিছিল, মই মোৰ চকুপানী ৰখাব নোৱাৰিলো",positive
150,একেবাৰে অৰ্থহীন নাটক এখনত সময় নষ্ট কৰিলো,negative
151,"মই কেতিয়াও মন্তব্য কৰা নাছিলো, মই আজি ভাল পাইছিলো নিশোৱে সদায় টুপীটো মূৰত লৈ প্ৰাৰ্থনা কৰিবলৈ উপদেশ দিছিল মুঠতে, ই ভাল লাগিছিল এইটো ভাল চিন্তা",positive
152,"বহুদিনৰ পিছত, মই এখন ভাল ৰোমাণ্টিক ড্ৰামা চাইছিলো বহুত ভাল নাকামি মাৰ্কা অভিনয় কৰিছে আৰু অন্তত কাহিনীটো নহয়",positive
153,"উৎকৃষ্ট, বিস্ময়কৰ, বিস্ময়কৰ, বিস্ময়কৰ",positive
154,"যিহেতু পৰিচালক আৰিয়ান ভাই, এটা শব্দত সকলো দুৰ্দান্ত",positive
155,মই আৰফান নিশু ভাইৰ মুখৰ চেহেৰাটো ভাল পাইছিলো,positive
156,মই লিখিবলৈ ভাষা বিচাৰি পোৱা নাই সুন্দৰ নাটক,positive
157,মই এক সুন্দৰ সামাজিক পৰিৱেশ দেখিছিলো,positive
158,"মই হাহি নাহাহিছো, মই আমনি পাইছো",negative
159,মই মাজা আগায়া শামীম হাচা চৰকাৰ কি দেলাইলা বছৰ সম্পূৰ্ণ ১ ঘণ্টা ৩৮ ছেকেণ্ড উপভোগ কৰি আছো,positive
160,নাটকৰ নাম আৰু সমাপ্তিৰ মাজত কোনো সাদৃশ্য নাছিল,negative
161,ভুৱা নাটকখন কোনে চাই আছে?,negative
162,আপোনাৰ এই বঙালী নাটক,negative
163,"লেতেৰা, অশ্লীলতা আৰু অশ্লীলতাৰ উপৰিও, এতিয়াও যি নাটক নিৰ্মাণ কৰিব পাৰি, আৰু নাটক বুলি কব পৰা বহু গুণৰ নাটকখন হল আৰিয়ানে এইটো কৰি আছে আন এখন সুন্দৰ নাটকৰ বাবে আপোনাক অশেষ ধন্যবাদ আৰু নিশো ভাই সদায়ে শ্ৰেষ্ঠ আপুনি দাঢ়ি খুৰোৱা অধিক ভাল পায়, কিন্তু আপুনি ইয়াক অধিক ভাল পায় যদি আপুনি দুটা লেচ চেণ্ডেল পিন্ধে, আপুনি সদায়ে শ্লাইড পঢ়ে, ই কেনে অনুভৱ কৰে?",positive
164,নাটকখন চোৱাৰ পিছত আৰফান নিশুৱে চকুপানী ৰখাব নোৱাৰিলে,positive
165,নাটকখন চমৎকাৰ আছিল কিন্তু মই আশা কৰো যে নিশু ভাইয়ে এখন ভাল নাটক দিব যিটো অধিক আকৰ্ষণীয় হব,positive
166,"মই সচাকৈয়ে এখন ভাল চিনেমা চাইছিলো, মই ইয়াক বহুত ভাল পাইছিলো, এনে এটা কাহিনীয়ে মোক স্পৰ্শ কৰিছিল, আৰু অপূৰ্ব দাদা, আপুনি হেট অফ, আৰু মই সচাকৈয়ে গানটো বাৰে বাৰে শুনিব বিচাৰো যেতিয়াই মই ইয়াক শুনো",positive
167,নাটকখন মোৰ বহুত ভাল লাগিল,positive
168,"ইয়াত কোনো নাটক নাই, কোনো কাহিনী নাই, কোনো অভিনয় নাই, কোনো বাস্তৱ নাই!",negative
169,"হিজাব, পৰ্ব, প্ৰাৰ্থনা, পদবা, তাজবি, জপ্বা, অবৈধ প্ৰেম, আহা, কিমান সুন্দৰ, মনত ৰাখিব যে মুছলমানৰ পাপক পাপ বুলি গণ্য নকৰাটোও পাপ",negative
170,"এম আৰ আৰিয়ান ভাই. আপুনি মোৰ কাহিনীটো কেনেকৈ পালে, ভাই? ডাঙৰ পুত্ৰৰ সৈতেও ই এতিয়া, জেৰিনৰ দৰেই, মই মোৰ স্বামী আৰু জেৰিনৰ মৃত্যুৰ বাবে অপেক্ষা কৰি আছো গ্ৰহণ কৰাত মোৰ কোনো সমস্যা নাই",positive
171,"এনে বেয়া সলাপ ব্যৱহাৰ কৰি নাটকৰ দৰ্শন কিহৰ বাবে বৃদ্ধি হল,",negative
172,অপূৰ্ব আৰু আনন্দে খালেদক অসাধাৰণ বুলি ভাবিছিল,positive
173,এই গাহৰিৰ পোৱালিবোৰে চলচ্চিত্ৰ নাটকৰ অধীনত পয়গম্বৰৰ নাম ব্যৱহাৰ কৰিব পাৰে,negative
174,মই এখন শ্ৰেষ্ঠ নাটক চাইছিলো আৰু মই এইটো ভাল পাইছিলো,positive
175,হাবিবে তিশাক তেওৰ ভনীয়েকৰ সৈতে যৌন সম্পৰ্ক স্থাপন কৰিবলৈ তেওৰ ভনীয়েকৰ সৈতে এৰি থৈ গৈছে,negative
176,অশ্লীলতাৰে পৰিপূৰ্ণ,negative
177,"ঠিকেই লাগিছে আশ্চৰ্যকৰ ভাই, আপুনি খুব ভাল অভিনয় কৰিছে",positive
178,"উত্তম, তানজিন তিশা হৈছে কাটাৰৰ পৰা অহা মোৰ বালিৰ লাগাবোৰৰ মাজৰ এজন",positive
179,ই বহুত ধুনীয়া আছিল,positive
180,মই অহা ঈদত মোছাৰফ কৰিমৰ নাটক শোশো বোকাচোড়া চাব বিচাৰো আপুনি,negative
181,কত স্নাতক পইণ্ট.Omi bro আপোনাৰ ভুল হৈছে.,negative
182,"এইখন মই এতিয়ালৈকে দেখা আটাইতকৈ ধুনীয়া নাটক হয়তো ই সুন্দৰতকৈ কম হব যেতিয়াই মোৰ সময় থাকে, মই অলপ চাব বিচাৰো",positive
183,"কি নাটক আছিল? সময় নষ্ট নকৰিব, ভাল কাহিনী পালে ভাল কিবা এটা কৰক বালা নাটকৰ মানদণ্ড এনেদৰে নমাই নিদিব",negative
184,মই মুশ্বাৰফ কৰিমৰ বিপুল অনুৰাগী কিন্তু স্বীকাৰ কৰো এইখন মুশ্বাৰফ কৰিমৰ অন্যতম বেয়া নাটকমোৰ বৰ লাজ আৰু বিতৃষ্ণাশ্বিহ!,negative
185,আপুনি নাটকখনত ইমান ভুল ইৰাজী লিপি কেনেকৈ দিয়ে? এইটো আপোনাৰ ইৰাজ মা আৰু দেউতাৰ সৈতে নাযায়,negative
186,এটা মূৰ্খ নাটক,negative
187,এইখন সচাকৈয়ে এক মহান নাটক,positive
188,সচাকৈয়ে আচৰিত আছিল যদিও নাটকখন অলপ বেছি সময় দি কৰা হলে ভাল হলহেতেন,positive
189,খুব মৰমলগা,positive
190,অতিৰঞ্জিত আৰু অতিৰঞ্জিত,negative
191,"এইটো পাগল, অজাইৰাই কাহিনীটোলৈ গৈছিল,",negative
192,নাটকখন চাই ভাল লাগিল,positive
193,সুন্দৰ নাটক! মই আপোনাক কেইবাবাৰো লগ পাইছো!,positive
194,এইখন এখন সুন্দৰ নাটক,positive
